doi,cr_title,cr_container_title,cr_short_container_title,cr_volume,cr_issue,cr_page,cr_year
10.1021/ja0315154,Tuning the Architecture of Mesostructures by Electrodeposition,Journal of the American Chemical Society,J. Am. Chem. Soc.,126,8,2316-2317,2004
10.1029/2004gl021106,Warm ocean is eroding West Antarctic Ice Sheet,Geophysical Research Letters,Geophys. Res. Lett.,31,23,NA,2004
10.1021/nl0482478,Bright and Stable Core−Shell Fluorescent Silica Nanoparticles,Nano Letters,Nano Lett.,5,1,113-117,2005
10.1038/ncb1219,Myosin-XVa is required for tip localization of whirlin and differential elongation of hair-cell stereocilia,Nature Cell Biology,Nat Cell Biol,7,2,148-156,2005
10.1038/sj.emboj.7600540,Functional link between ribosome formation and biogenesis of iron–sulfur proteins,The EMBO Journal,EMBO J,24,3,580-588,2005
10.1038/ncb1213,"OASIS, a CREB/ATF-family member, modulates UPR signalling in astrocytes",Nature Cell Biology,Nat Cell Biol,7,2,186-194,2005
10.1021/ja0464903,Decomposition of Triacetone Triperoxide Is an Entropic Explosion,Journal of the American Chemical Society,J. Am. Chem. Soc.,127,4,1146-1159,2005
10.1038/sj.gt.3302465,Protective effect of DNA vaccine during chemotherapy on reactivation and reinfection of Mycobacterium tuberculosis,Gene Therapy,Gene Ther,12,7,634-638,2005
10.1172/jci200523523,Key role of poly-γ-dl-glutamic acid in immune evasion and virulence of Staphylococcus epidermidis,Journal of Clinical Investigation,J. Clin. Invest.,115,3,688-694,2005
10.1038/nmat1326,The generic enhancement of photochromic dye switching speeds in a rigid polymer matrix,Nature Materials,Nature Mater,4,3,249-253,2005
10.1039/b418697d,"Direct, trace level detection of explosives on ambient surfaces by desorption electrospray ionization mass spectrometry",Chem. Commun.,Chem. Commun.,NA,15,1950-1952,2005
10.1083/jcb.200407162,Protein synthesis persists during necrotic cell death,Journal of Cell Biology,NA,168,4,545-551,2005
10.1021/ja043736v,Latent Fluorophore Based on the Trimethyl Lock,Journal of the American Chemical Society,J. Am. Chem. Soc.,127,6,1652-1653,2005
10.1182/blood-2004-11-4272,Impaired base excision repair and accumulation of oxidative base lesions in CD4+ T cells of HIV-infected patients,Blood,NA,105,12,4730-4735,2005
10.1073/pnas.0408870102,Structure of a mitochondrial supercomplex formed by respiratory-chain complexes I and III,Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences,102,9,3225-3229,2005
10.1038/sj.emboj.7600595,Listeria monocytogenes exploits ERM protein functions to efficiently spread from cell to cell,The EMBO Journal,EMBO J,24,6,1287-1300,2005
10.1029/2004gl021943,VLF/ELF sferic evidence for in-cloud discharge activity producing sprites,Geophysical Research Letters,Geophys. Res. Lett.,32,4,n/a-n/a,2005
10.1021/ja043472c,Regio- and Enantioselective Pd-Catalyzed Allylic Alkylation of Ketones through Allyl Enol Carbonates,Journal of the American Chemical Society,J. Am. Chem. Soc.,127,9,2846-2847,2005
10.1021/ja043520t,A Simple Organic Reaction Mediates the Crystallization of the Inorganic Nanocluster [Ga13(μ3-OH)6(μ2-OH)18(H2O)24](NO3)15,Journal of the American Chemical Society,J. Am. Chem. Soc.,127,10,3242-3243,2005
10.1029/2005gl022524,Daytime formation of nitrous acid: A major source of OH radicals in a forest,Geophysical Research Letters,Geophys. Res. Lett.,32,5,NA,2005
10.1029/2005gl022484,Extending the SeaWiFS chlorophyll data set back 50 years in the northeast Atlantic,Geophysical Research Letters,Geophys. Res. Lett.,32,6,NA,2005
10.1016/j.jmb.2005.02.067,"Tracing the Evolution of a Large Protein Complex in the Eukaryotes, NADH:Ubiquinone Oxidoreductase (Complex I)",Journal of Molecular Biology,Journal of Molecular Biology,348,4,857-870,2005
10.1038/nmat1338,Thin films of hard cubic Zr3N4 stabilized by stress,Nature Materials,Nature Mater,4,4,317-322,2005
10.1021/ol050069h,A New Entry in Catalytic Alkynylation of Aldehydes and Ketones:  Dual Activation of Soft Nucleophiles and Hard Electrophiles by an Indium(III) Catalyst,Organic Letters,Org. Lett.,7,7,1363-1366,2005
10.1029/2004jd005400,Fatty acids on continental sulfate aerosol particles,Journal of Geophysical Research: Atmospheres,J. Geophys. Res.,110,D6,n/a-n/a,2005
10.1038/ncb1236,Regulation of PTEN by Rho small GTPases,Nature Cell Biology,Nat Cell Biol,7,4,399-404,2005
10.1002/anie.200462276,Wound Closure in the Invasive Green AlgaCaulerpa taxifolia by Enzymatic Activation of a Protein Cross-Linker,Angewandte Chemie International Edition,Angew. Chem. Int. Ed.,44,18,2806-2808,2005
10.1371/journal.pbio.0030113,Intravascular Immune Surveillance by CXCR6+ NKT Cells Patrolling Liver Sinusoids,PLoS Biology,PLoS Biol,3,4,e113,2005
10.1101/gad.332805,A novel cell-to-cell trafficking assay indicates that the KNOX homeodomain is necessary and sufficient for intercellular protein and mRNA trafficking,Genes & Development,Genes & Development,19,7,788-793,2005
10.1038/nm1229,In vivo imaging of axonal degeneration and regeneration in the injured spinal cord,Nature Medicine,Nat Med,11,5,572-577,2005
10.1021/ja044496m,Virus Crystals as Nanocomposite Scaffolds,Journal of the American Chemical Society,J. Am. Chem. Soc.,127,15,5274-5275,2005
10.1038/ng1550,A variant in the CD209 promoter is associated with severity of dengue disease,Nature Genetics,Nat Genet,37,5,507-513,2005
10.1021/ja0501363,Template-Directed Dynamic Synthesis of Mechanically Interlocked Dendrimers,Journal of the American Chemical Society,J. Am. Chem. Soc.,127,16,5808-5810,2005
10.1021/ja042824c,Regioselective Synthesis of Multifunctional Hybrid Polysiloxanes Achieved by Pt−Nanocluster Catalysis,Journal of the American Chemical Society,J. Am. Chem. Soc.,127,16,5790-5791,2005
10.1029/2005gl022616,DOAS measurement of glyoxal as an indicator for fast VOC chemistry in urban air,Geophysical Research Letters,Geophys. Res. Lett.,32,8,NA,2005
10.1002/ange.200500298,DNA-Based Asymmetric Catalysis,Angewandte Chemie,Angew. Chem.,117,21,3294-3296,2005
10.1002/anie.200462883,“On Water”: Unique Reactivity of Organic Compounds in Aqueous Suspension,Angewandte Chemie International Edition,Angew. Chem. Int. Ed.,44,21,3275-3279,2005
10.1002/anie.200500379,SelectiveMeta-Deprotonation of Toluene by Using Alkali-Metal-Mediated Magnesiation,Angewandte Chemie International Edition,Angew. Chem. Int. Ed.,44,22,3459-3462,2005
10.1021/ja050150f,Ag4V2O6F2:  An Electrochemically Active and High Silver Density Phase,Journal of the American Chemical Society,J. Am. Chem. Soc.,127,17,6347-6352,2005
10.1021/jp050782o,Control of Carboxylic Acid and Ester Groups on Chromium (VI) Binding to Functionalized Silica/Water Interfaces Studied by Second Harmonic Generation,The Journal of Physical Chemistry B,J. Phys. Chem. B,109,19,9691-9702,2005
10.1038/sj.emboj.7600668,Sensing wetness: a new role for the bacterial flagellum,The EMBO Journal,EMBO J,24,11,2034-2042,2005
10.1002/anie.200500749,Diffusion of Water in a Nonporous Hydrophobic Crystal,Angewandte Chemie International Edition,Angew. Chem. Int. Ed.,44,25,3848-3851,2005
10.1038/ncb1262,Microtubule-induced focal adhesion disassembly is mediated by dynamin and focal adhesion kinase,Nature Cell Biology,Nat Cell Biol,7,6,581-590,2005
10.1039/b505295p,"Selective oxidation of CO in the presence of H2, H2O and CO2via gold for use in fuel cells",Chemical Communications,Chem. Commun.,NA,27,3385,2005
10.1021/ja043651u,2D Correlation Analysis of the Continuum in Single Molecule Surface Enhanced Raman Spectroscopy,Journal of the American Chemical Society,J. Am. Chem. Soc.,127,20,7292-7293,2005
10.1002/anie.200500237,“Catalyst-on-a-Tape”—Teflon: A New Delivery and Recovery Method for Homogeneous Fluorous Catalysts,Angewandte Chemie International Edition,Angew. Chem. Int. Ed.,44,26,4095-4097,2005
10.1038/ncb1264,The golgin Lava lamp mediates dynein-based Golgi movements during Drosophila cellularization,Nature Cell Biology,Nat Cell Biol,7,6,612-618,2005
10.1038/nm1255,"Regulation of bone mass, bone loss and osteoclast activity by cannabinoid receptors",Nature Medicine,Nat Med,11,7,774-779,2005
10.1002/chem.200500332,"Gaseous HgH2, CdH2, and ZnH2",Chemistry - A European Journal,Chem. Eur. J.,11,16,4709-4712,2005
10.1021/ja051224q,[(Pd−Pd)@Ge18]4-:  A Palladium Dimer Inside the Largest Single-Cage Deltahedron,Journal of the American Chemical Society,J. Am. Chem. Soc.,127,21,7676-7677,2005
10.1016/j.epsl.2005.03.020,Tectonic and climatic controls on silicate weathering,Earth and Planetary Science Letters,Earth and Planetary Science Letters,235,1-2,211-228,2005
10.1038/ncb1274,MicroRNA-dependent localization of targeted mRNAs to mammalian P-bodies,Nature Cell Biology,Nat Cell Biol,7,7,719-723,2005
10.1021/ma050626f,"Controlled, Copper-Catalyzed Functionalization of Polyolefins",Macromolecules,Macromolecules,38,12,4966-4969,2005
10.1021/ja051859p,Controlled Self-Assembly Triggered by Olefin Metathesis:  Cross-Linked Graphitic Nanotubes from an Amphiphilic Hexa-peri-hexabenzocoronene,Journal of the American Chemical Society,J. Am. Chem. Soc.,127,23,8284-8285,2005
10.1038/nm1257,Accelerated CD8+ T-cell memory and prime-boost response after dendritic-cell vaccination,Nature Medicine,Nat Med,11,7,748-756,2005
10.1029/2005gl022660,Decoupling marine export production from new production,Geophysical Research Letters,Geophys. Res. Lett.,32,11,NA,2005
10.1039/b505979h,From α-helix to β-sheet – a reversible metal ion induced peptide secondary structure switch,Organic & Biomolecular Chemistry,Org. Biomol. Chem.,3,14,2500,2005
10.1021/ja052281m,"Block Copolymer-Templated Chemistry on Si, Ge, InP, and GaAs Surfaces",Journal of the American Chemical Society,J. Am. Chem. Soc.,127,25,8932-8933,2005
10.1002/anie.200501559,Ultramacrocyclization through Reversible Catenation,Angewandte Chemie International Edition,Angew. Chem. Int. Ed.,44,31,4896-4899,2005
10.1038/ng1596,Distinct epigenetic changes in the stromal cells of breast cancers,Nature Genetics,Nat Genet,37,8,899-905,2005
10.1084/jem.20050846,Staphylococcus aureus golden pigment impairs neutrophil killing and promotes virulence through its antioxidant activity,Journal of Experimental Medicine,NA,202,2,209-215,2005
